y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,year
2,50,VT,VERMONT,40,61,2125,2011
2,10,DE,DELAWARE,25,51,1510,2011
2,44,RI,RHODE ISLAND,21,43,873,2011
4,96,AZ,AZ Total Migration US and Foreign,91135,175887,4426745,2011
4,97,AZ,AZ Total Migration US,88221,169664,4283129,2011
4,98,AZ,AZ Total Migration Foreign,2914,6223,143617,2011
4,4,AZ,AZ Non-migrants,2121852,4832574,123282304,2011
4,6,CA,CALIFORNIA,18138,34588,886444,2011
4,48,TX,TEXAS,7770,16088,395153,2011
4,8,CO,COLORADO,4572,8884,293938,2011
4,53,WA,WASHINGTON,4438,8369,217924,2011
4,12,FL,FLORIDA,4041,6958,196121,2011
4,32,NV,NEVADA,3520,7004,180091,2011
4,35,NM,NEW MEXICO,3251,7358,121239,2011
4,17,IL,ILLINOIS,2958,5246,139822,2011
4,57,FR,Foreign,2914,6223,143617,2011
4,41,OR,OREGON,2538,4667,113795,2011
4,49,UT,UTAH,2388,5519,98985,2011
4,36,NY,NEW YORK,2233,3585,131196,2011
4,26,MI,MICHIGAN,2218,3996,87893,2011
4,39,OH,OHIO,1782,3309,83974,2011
4,37,NC,NORTH CAROLINA,1704,3426,83332,2011
4,27,MN,MINNESOTA,1665,2943,88683,2011
4,13,GA,GEORGIA,1637,3107,79332,2011
4,51,VA,VIRGINIA,1593,3211,94597,2011
4,42,PA,PENNSYLVANIA,1438,2584,69042,2011
4,55,WI,WISCONSIN,1409,2442,70262,2011
4,29,MO,MISSOURI,1288,2461,56910,2011
4,16,ID,IDAHO,1102,2435,49929,2011
4,18,IN,INDIANA,1088,2068,46919,2011
4,47,TN,TENNESSEE,1083,2212,30158,2011
4,40,OK,OKLAHOMA,1025,2123,42021,2011
4,20,KS,KANSAS,945,1956,38461,2011
4,19,IA,IOWA,900,1667,40291,2011
4,24,MD,MARYLAND,832,1571,43842,2011
4,34,NJ,NEW JERSEY,822,1413,39476,2011
4,15,HI,HAWAII,809,1526,35430,2011
4,25,MA,MASSACHUSETTS,793,1308,41270,2011
4,30,MT,MONTANA,749,1354,32242,2011
4,31,NE,NEBRASKA,722,1391,31003,2011
4,45,SC,SOUTH CAROLINA,633,1293,32059,2011
4,2,AK,ALASKA,589,1063,30166,2011
4,22,LA,LOUISIANA,585,1186,25056,2011
4,56,WY,WYOMING,566,1104,24607,2011
4,5,AR,ARKANSAS,536,1101,22324,2011
4,38,ND,NORTH DAKOTA,530,1025,28326,2011
4,21,KY,KENTUCKY,515,1037,22792,2011
4,1,AL,ALABAMA,515,1054,29965,2011
4,46,SD,SOUTH DAKOTA,466,845,20261,2011
4,9,CT,CONNECTICUT,417,693,28351,2011
4,28,MS,MISSISSIPPI,273,532,10430,2011
4,33,NH,NEW HAMPSHIRE,247,429,10056,2011
4,23,ME,MAINE,214,389,8767,2011
4,11,DC,DISTRICT OF COLUMBIA,179,241,8251,2011
4,54,WV,WEST VIRGINIA,161,289,6292,2011
4,44,RI,RHODE ISLAND,120,227,5071,2011
4,50,VT,VERMONT,114,184,4850,2011
4,10,DE,DELAWARE,110,203,5727,2011
5,96,AR,AR Total Migration US and Foreign,33258,67366,1426549,2011
5,97,AR,AR Total Migration US,32742,66354,1404757,2011
5,98,AR,AR Total Migration Foreign,516,1012,21793,2011
5,5,AR,AR Non-migrants,944195,2141981,50556605,2011
5,48,TX,TEXAS,6654,13618,316301,2011
5,40,OK,OKLAHOMA,2909,6434,105972,2011
5,29,MO,MISSOURI,2642,5533,91144,2011
5,47,TN,TENNESSEE,2045,3986,79921,2011
5,12,FL,FLORIDA,2009,3583,102245,2011
5,6,CA,CALIFORNIA,1710,3271,62789,2011
5,22,LA,LOUISIANA,1351,2835,54211,2011
5,28,MS,MISSISSIPPI,1061,2261,37834,2011
5,17,IL,ILLINOIS,995,1951,41163,2011
5,13,GA,GEORGIA,977,1988,46682,2011
5,8,CO,COLORADO,656,1328,34172,2011
5,37,NC,NORTH CAROLINA,633,1316,25762,2011
5,20,KS,KANSAS,603,1258,20194,2011
5,4,AZ,ARIZONA,576,1114,20415,2011
5,57,FR,Foreign,516,1012,21793,2011
5,1,AL,ALABAMA,507,1080,26362,2011
5,26,MI,MICHIGAN,497,1002,17517,2011
5,51,VA,VIRGINIA,495,934,22439,2011
5,53,WA,WASHINGTON,463,946,20974,2011
5,39,OH,OHIO,449,947,24755,2011
5,36,NY,NEW YORK,442,800,17517,2011
5,18,IN,INDIANA,427,889,15332,2011
5,42,PA,PENNSYLVANIA,392,772,23053,2011
5,21,KY,KENTUCKY,347,771,15159,2011
5,55,WI,WISCONSIN,325,635,13950,2011
5,27,MN,MINNESOTA,321,653,16611,2011
5,45,SC,SOUTH CAROLINA,299,602,12254,2011
5,32,NV,NEVADA,282,541,12430,2011
5,19,IA,IOWA,251,521,9347,2011
5,41,OR,OREGON,219,421,7704,2011
5,35,NM,NEW MEXICO,218,420,8282,2011
5,24,MD,MARYLAND,216,400,10307,2011
5,31,NE,NEBRASKA,201,427,7370,2011
5,34,NJ,NEW JERSEY,186,347,17661,2011
5,49,UT,UTAH,146,336,7375,2011
5,25,MA,MASSACHUSETTS,136,236,13336,2011
5,2,AK,ALASKA,134,278,4863,2011
5,56,WY,WYOMING,110,220,4794,2011
5,16,ID,IDAHO,103,225,3574,2011
5,15,HI,HAWAII,99,198,3543,2011
5,54,WV,WEST VIRGINIA,91,180,3809,2011
5,38,ND,NORTH DAKOTA,91,202,5372,2011
5,30,MT,MONTANA,90,205,3459,2011
5,46,SD,SOUTH DAKOTA,85,170,2861,2011
5,9,CT,CONNECTICUT,75,142,4940,2011
5,23,ME,MAINE,45,74,1588,2011
5,11,DC,DISTRICT OF COLUMBIA,44,61,2207,2011
5,10,DE,DELAWARE,43,87,1570,2011
5,33,NH,NEW HAMPSHIRE,41,73,2236,2011
5,44,RI,RHODE ISLAND,32,60,1043,2011
5,50,VT,VERMONT,19,23,361,2011
6,96,CA,CA Total Migration US and Foreign,266673,496085,15556716,2011
6,97,CA,CA Total Migration US,252373,468496,14519801,2011
6,98,CA,CA Total Migration Foreign,14300,27589,1036914,2011
6,6,CA,CA Non-migrants,13084530,30080010,949129595,2011
6,48,TX,TEXAS,27381,55278,1693828,2011
6,32,NV,NEVADA,19313,36506,972459,2011
6,4,AZ,ARIZONA,18897,37085,946689,2011
6,53,WA,WASHINGTON,17062,33005,1111687,2011
6,12,FL,FLORIDA,14514,24087,906197,2011
6,57,FR,Foreign,14300,27589,1036914,2011
6,36,NY,NEW YORK,13473,19106,1030492,2011
6,41,OR,OREGON,12838,23290,657897,2011
6,8,CO,COLORADO,10183,18620,624790,2011
6,17,IL,ILLINOIS,7870,13675,448842,2011
6,51,VA,VIRGINIA,7413,14976,498076,2011
6,13,GA,GEORGIA,7194,13146,343534,2011
6,37,NC,NORTH CAROLINA,6222,12659,350812,2011
6,15,HI,HAWAII,5567,10139,323572,2011
6,49,UT,UTAH,5030,11016,280410,2011
6,25,MA,MASSACHUSETTS,4886,7532,335713,2011
6,42,PA,PENNSYLVANIA,4553,7627,285508,2011
6,26,MI,MICHIGAN,4383,7750,236032,2011
6,39,OH,OHIO,4011,7143,224542,2011
6,34,NJ,NEW JERSEY,3994,7131,330299,2011
6,24,MD,MARYLAND,3839,6875,244777,2011
6,16,ID,IDAHO,3790,7770,189646,2011
6,47,TN,TENNESSEE,3608,6896,187880,2011
6,29,MO,MISSOURI,3525,6571,166663,2011
6,27,MN,MINNESOTA,3132,5707,169864,2011
6,40,OK,OKLAHOMA,3089,6359,120680,2011
6,35,NM,NEW MEXICO,2875,5368,143522,2011
6,18,IN,INDIANA,2657,5216,139191,2011
6,22,LA,LOUISIANA,2477,4495,113051,2011
6,55,WI,WISCONSIN,2414,4469,127680,2011
6,20,KS,KANSAS,2195,4425,83500,2011
6,45,SC,SOUTH CAROLINA,2123,4095,108042,2011
6,5,AR,ARKANSAS,1976,4095,77038,2011
6,9,CT,CONNECTICUT,1885,3187,153717,2011
6,1,AL,ALABAMA,1701,3451,80533,2011
6,19,IA,IOWA,1689,3431,67249,2011
6,30,MT,MONTANA,1671,3138,89956,2011
6,2,AK,ALASKA,1619,3070,58351,2011
6,21,KY,KENTUCKY,1539,2950,68411,2011
6,11,DC,DISTRICT OF COLUMBIA,1483,1837,89725,2011
6,31,NE,NEBRASKA,1374,2878,59369,2011
6,28,MS,MISSISSIPPI,1154,2257,50700,2011
6,56,WY,WYOMING,1008,1830,72841,2011
6,33,NH,NEW HAMPSHIRE,817,1338,52670,2011
6,46,SD,SOUTH DAKOTA,793,1449,42966,2011
6,38,ND,NORTH DAKOTA,710,1363,26348,2011
6,23,ME,MAINE,630,1038,34472,2011
6,44,RI,RHODE ISLAND,605,1146,37016,2011
6,50,VT,VERMONT,408,616,19025,2011
6,10,DE,DELAWARE,406,712,28451,2011
6,54,WV,WEST VIRGINIA,397,693,15090,2011
8,96,CO,CO Total Migration US and Foreign,77566,149540,4144907,2011
8,97,CO,CO Total Migration US,75396,144925,4014705,2011
8,98,CO,CO Total Migration Foreign,2170,4615,130202,2011
8,8,CO,CO Non-migrants,1795419,3943762,130572239,2011
8,6,CA,CALIFORNIA,8999,16571,488695,2011
8,48,TX,TEXAS,8638,18240,501745,2011
8,12,FL,FLORIDA,4678,8487,278661,2011
8,4,AZ,ARIZONA,4405,8530,241555,2011
8,53,WA,WASHINGTON,2656,5064,154665,2011
8,57,FR,Foreign,2170,4615,130202,2011
8,35,NM,NEW MEXICO,2157,4301,90016,2011
8,17,IL,ILLINOIS,2038,3576,96854,2011
8,56,WY,WYOMING,1993,3802,97867,2011
8,36,NY,NEW YORK,1930,3076,115512,2011
8,51,VA,VIRGINIA,1862,3911,114885,2011
8,13,GA,GEORGIA,1747,3519,83695,2011
8,20,KS,KANSAS,1726,3532,74309,2011
8,37,NC,NORTH CAROLINA,1680,3379,83555,2011
8,41,OR,OREGON,1668,2890,81590,2011
8,49,UT,UTAH,1644,3766,99545,2011
8,32,NV,NEVADA,1624,2988,78768,2011
8,29,MO,MISSOURI,1510,2961,67549,2011
8,40,OK,OKLAHOMA,1498,3149,71677,2011
8,26,MI,MICHIGAN,1470,2663,74348,2011
8,31,NE,NEBRASKA,1467,2918,61303,2011
8,39,OH,OHIO,1388,2590,74854,2011
8,27,MN,MINNESOTA,1368,2414,75139,2011
8,42,PA,PENNSYLVANIA,1347,2338,85216,2011
8,47,TN,TENNESSEE,1043,2081,52270,2011
8,55,WI,WISCONSIN,1023,1844,46074,2011
8,19,IA,IOWA,986,1821,44499,2011
8,25,MA,MASSACHUSETTS,891,1426,50376,2011
8,24,MD,MARYLAND,879,1731,57511,2011
8,30,MT,MONTANA,871,1597,40434,2011
8,15,HI,HAWAII,817,1626,37283,2011
8,18,IN,INDIANA,810,1538,39141,2011
8,16,ID,IDAHO,739,1582,36741,2011
8,22,LA,LOUISIANA,721,1483,46106,2011
8,45,SC,SOUTH CAROLINA,715,1407,36232,2011
8,38,ND,NORTH DAKOTA,654,1343,38178,2011
8,46,SD,SOUTH DAKOTA,642,1159,28474,2011
8,1,AL,ALABAMA,624,1335,37114,2011
8,34,NJ,NEW JERSEY,623,1169,42762,2011
8,2,AK,ALASKA,589,1156,25889,2011
8,5,AR,ARKANSAS,567,1144,25875,2011
8,21,KY,KENTUCKY,524,1138,23280,2011
8,28,MS,MISSISSIPPI,433,778,17318,2011
8,9,CT,CONNECTICUT,390,661,31635,2011
8,33,NH,NEW HAMPSHIRE,306,498,14632,2011
8,23,ME,MAINE,259,442,11160,2011
8,11,DC,DISTRICT OF COLUMBIA,251,346,14005,2011
8,50,VT,VERMONT,178,274,6779,2011
8,54,WV,WEST VIRGINIA,154,307,6567,2011
8,44,RI,RHODE ISLAND,118,207,7888,2011
8,10,DE,DELAWARE,96,167,4476,2011
9,96,CT,CT Total Migration US and Foreign,46576,79787,5188463,2011
9,97,CT,CT Total Migration US,44807,76481,4986716,2011
9,98,CT,CT Total Migration Foreign,1769,3306,201747,2011
9,9,CT,CT Non-migrants,1367856,2870405,133130211,2011
9,36,NY,NEW YORK,8462,12979,1074969,2011
9,12,FL,FLORIDA,6475,11437,1612598,2011
9,25,MA,MASSACHUSETTS,4924,7767,329041,2011
9,6,CA,CALIFORNIA,2554,4242,254122,2011
9,34,NJ,NEW JERSEY,1965,3471,148798,2011
9,57,FR,Foreign,1769,3306,201747,2011
9,48,TX,TEXAS,1729,3196,157148,2011
9,37,NC,NORTH CAROLINA,1698,3347,136296,2011
9,42,PA,PENNSYLVANIA,1559,2766,105768,2011
9,51,VA,VIRGINIA,1413,2667,141667,2011
9,44,RI,RHODE ISLAND,1260,2051,86223,2011
9,13,GA,GEORGIA,1246,2292,76063,2011
9,45,SC,SOUTH CAROLINA,1011,1891,82052,2011
9,24,MD,MARYLAND,839,1435,57612,2011
9,17,IL,ILLINOIS,814,1471,87153,2011
9,33,NH,NEW HAMPSHIRE,705,1214,60376,2011
9,23,ME,MAINE,631,1109,36899,2011
9,4,AZ,ARIZONA,630,1108,68527,2011
9,8,CO,COLORADO,601,990,60016,2011
9,39,OH,OHIO,541,1053,42074,2011
9,53,WA,WASHINGTON,512,987,43876,2011
9,50,VT,VERMONT,495,774,27928,2011
9,26,MI,MICHIGAN,428,741,29821,2011
9,47,TN,TENNESSEE,424,769,29855,2011
9,11,DC,DISTRICT OF COLUMBIA,305,352,16788,2011
9,27,MN,MINNESOTA,267,491,19315,2011
9,18,IN,INDIANA,263,493,17809,2011
9,32,NV,NEVADA,242,412,18546,2011
9,15,HI,HAWAII,229,371,12380,2011
9,55,WI,WISCONSIN,227,446,16269,2011
9,29,MO,MISSOURI,224,410,15656,2011
9,1,AL,ALABAMA,224,451,10054,2011
9,41,OR,OREGON,203,344,12353,2011
9,22,LA,LOUISIANA,184,299,-954,2011
9,21,KY,KENTUCKY,178,323,12813,2011
9,49,UT,UTAH,150,286,16456,2011
9,10,DE,DELAWARE,148,240,8294,2011
9,19,IA,IOWA,118,221,6396,2011
9,35,NM,NEW MEXICO,110,166,7418,2011
9,40,OK,OKLAHOMA,104,200,8148,2011
9,20,KS,KANSAS,102,186,5890,2011
9,2,AK,ALASKA,93,135,3829,2011
9,28,MS,MISSISSIPPI,86,138,5531,2011
9,5,AR,ARKANSAS,74,147,5080,2011
9,54,WV,WEST VIRGINIA,71,111,3421,2011
9,30,MT,MONTANA,61,91,3210,2011
9,31,NE,NEBRASKA,57,123,4305,2011
9,56,WY,WYOMING,50,78,2472,2011
9,46,SD,SOUTH DAKOTA,48,79,1975,2011
9,16,ID,IDAHO,44,86,3397,2011
9,38,ND,NORTH DAKOTA,29,45,983,2011
10,96,DE,DE Total Migration US and Foreign,15487,28145,905176,2011
10,97,DE,DE Total Migration US,15062,27337,880842,2011
10,98,DE,DE Total Migration Foreign,425,808,24333,2011
10,10,DE,DE Non-migrants,335499,711607,21758217,2011
10,42,PA,PENNSYLVANIA,3405,6254,196008,2011
10,24,MD,MARYLAND,2306,4229,98426,2011
10,12,FL,FLORIDA,1357,2321,95828,2011
10,34,NJ,NEW JERSEY,1225,2107,76774,2011
10,36,NY,NEW YORK,974,1518,80661,2011
10,51,VA,VIRGINIA,736,1395,42478,2011
10,48,TX,TEXAS,541,1066,31010,2011
10,37,NC,NORTH CAROLINA,523,962,28701,2011
10,13,GA,GEORGIA,484,885,18878,2011
10,6,CA,CALIFORNIA,461,761,25766,2011
10,57,FR,Foreign,425,808,24333,2011
10,45,SC,SOUTH CAROLINA,239,489,15526,2011
10,17,IL,ILLINOIS,201,406,17379,2011
10,39,OH,OHIO,185,377,10565,2011
10,25,MA,MASSACHUSETTS,175,292,14614,2011
10,4,AZ,ARIZONA,147,286,9016,2011
10,47,TN,TENNESSEE,131,257,9605,2011
10,55,WI,WISCONSIN,131,431,4291,2011
10,9,CT,CONNECTICUT,128,211,9700,2011
10,8,CO,COLORADO,119,202,5445,2011
10,53,WA,WASHINGTON,118,197,6420,2011
10,26,MI,MICHIGAN,108,205,5059,2011
10,11,DC,DISTRICT OF COLUMBIA,101,129,12870,2011
10,54,WV,WEST VIRGINIA,79,130,2895,2011
10,29,MO,MISSOURI,76,138,3343,2011
10,21,KY,KENTUCKY,75,134,3132,2011
10,18,IN,INDIANA,75,131,3237,2011
10,1,AL,ALABAMA,74,183,4034,2011
10,22,LA,LOUISIANA,67,120,3242,2011
10,15,HI,HAWAII,62,114,6084,2011
10,32,NV,NEVADA,61,103,2779,2011
10,27,MN,MINNESOTA,54,111,2883,2011
10,23,ME,MAINE,49,92,3826,2011
10,19,IA,IOWA,47,89,3210,2011
10,33,NH,NEW HAMPSHIRE,46,86,3368,2011
10,46,SD,SOUTH DAKOTA,43,46,366,2011
10,40,OK,OKLAHOMA,42,97,2379,2011
10,28,MS,MISSISSIPPI,42,78,2837,2011
10,49,UT,UTAH,40,84,1756,2011
10,35,NM,NEW MEXICO,40,84,1868,2011
10,20,KS,KANSAS,38,68,1318,2011
10,5,AR,ARKANSAS,37,86,1388,2011
10,41,OR,OREGON,36,52,2839,2011
10,2,AK,ALASKA,32,60,1536,2011
10,50,VT,VERMONT,28,41,2060,2011
10,56,WY,WYOMING,26,46,1432,2011
10,44,RI,RHODE ISLAND,23,32,661,2011
10,31,NE,NEBRASKA,21,49,1056,2011
10,38,ND,NORTH DAKOTA,19,33,676,2011
10,16,ID,IDAHO,18,44,1066,2011
10,30,MT,MONTANA,17,26,551,2011
11,96,DC,DC Total Migration US and Foreign,28683,42957,2060569,2011
11,97,DC,DC Total Migration US,27750,41454,1987764,2011
11,98,DC,DC Total Migration Foreign,933,1503,72804,2011
11,11,DC,DC Non-migrants,237523,399121,21449487,2011
11,24,MD,MARYLAND,9434,16752,562529,2011
11,51,VA,VIRGINIA,4861,6983,405580,2011
11,36,NY,NEW YORK,2010,2425,154969,2011
11,6,CA,CALIFORNIA,1749,2235,171675,2011
11,12,FL,FLORIDA,969,1301,102811,2011
11,57,FR,Foreign,933,1503,72804,2011
11,48,TX,TEXAS,798,1149,55132,2011
11,42,PA,PENNSYLVANIA,775,940,45109,2011
11,25,MA,MASSACHUSETTS,738,900,49132,2011
11,37,NC,NORTH CAROLINA,696,1055,46078,2011
11,17,IL,ILLINOIS,686,825,54795,2011
11,13,GA,GEORGIA,500,669,26985,2011
11,34,NJ,NEW JERSEY,440,553,30869,2011
11,8,CO,COLORADO,303,406,22517,2011
11,53,WA,WASHINGTON,293,435,24404,2011
11,39,OH,OHIO,279,376,21539,2011
11,26,MI,MICHIGAN,272,362,13823,2011
11,45,SC,SOUTH CAROLINA,200,299,10943,2011
11,9,CT,CONNECTICUT,198,257,14015,2011
11,47,TN,TENNESSEE,181,257,11940,2011
11,27,MN,MINNESOTA,164,207,10486,2011
11,55,WI,WISCONSIN,154,191,13003,2011
11,22,LA,LOUISIANA,151,200,8277,2011
11,41,OR,OREGON,148,188,8234,2011
11,4,AZ,ARIZONA,148,219,10044,2011
11,29,MO,MISSOURI,125,167,7769,2011
11,18,IN,INDIANA,125,154,7560,2011
11,1,AL,ALABAMA,115,164,6765,2011
11,10,DE,DELAWARE,110,157,9638,2011
11,32,NV,NEVADA,89,114,4354,2011
11,21,KY,KENTUCKY,88,120,5268,2011
11,23,ME,MAINE,77,107,7059,2011
11,33,NH,NEW HAMPSHIRE,66,84,5171,2011
11,35,NM,NEW MEXICO,65,95,7639,2011
11,15,HI,HAWAII,65,105,5179,2011
11,54,WV,WEST VIRGINIA,64,106,4987,2011
11,50,VT,VERMONT,59,84,3182,2011
11,5,AR,ARKANSAS,58,86,4383,2011
11,44,RI,RHODE ISLAND,57,87,4073,2011
11,28,MS,MISSISSIPPI,57,83,2873,2011
11,2,AK,ALASKA,54,79,2752,2011
11,40,OK,OKLAHOMA,51,78,2850,2011
11,19,IA,IOWA,46,58,2274,2011
11,20,KS,KANSAS,43,70,3584,2011
11,49,UT,UTAH,41,66,2830,2011
11,16,ID,IDAHO,31,53,3731,2011
11,30,MT,MONTANA,29,36,2381,2011
11,31,NE,NEBRASKA,28,38,1536,2011
11,56,WY,WYOMING,23,30,2799,2011
11,46,SD,SOUTH DAKOTA,21,28,1403,2011
11,38,ND,NORTH DAKOTA,16,21,839,2011
12,96,FL,FL Total Migration US and Foreign,313337,516554,13296903,2011
12,97,FL,FL Total Migration US,302232,497242,12836682,2011
12,98,FL,FL Total Migration Foreign,11105,19312,460221,2011
12,12,FL,FL Non-migrants,6986744,14152056,406073818,2011
12,48,TX,TEXAS,32967,49423,1192975,2011
12,13,GA,GEORGIA,29485,50078,1159003,2011
12,36,NY,NEW YORK,25658,39186,1104420,2011
12,6,CA,CALIFORNIA,16879,27248,1003032,2011
12,37,NC,NORTH CAROLINA,15361,27926,635009,2011
12,57,FR,Foreign,11105,19312,460221,2011
12,51,VA,VIRGINIA,11067,20537,523022,2011
12,47,TN,TENNESSEE,10746,18466,446636,2011
12,34,NJ,NEW JERSEY,10383,16836,485151,2011
12,42,PA,PENNSYLVANIA,10361,17396,467023,2011
12,39,OH,OHIO,9676,16449,423470,2011
12,26,MI,MICHIGAN,8764,14676,328860,2011
12,17,IL,ILLINOIS,8141,13309,390866,2011
12,1,AL,ALABAMA,8039,14729,279695,2011
12,25,MA,MASSACHUSETTS,7851,12766,355901,2011
12,45,SC,SOUTH CAROLINA,7305,12670,339070,2011
12,32,NV,NEVADA,6185,7898,196816,2011
12,24,MD,MARYLAND,6006,10162,293042,2011
12,53,WA,WASHINGTON,5651,8764,230903,2011
12,8,CO,COLORADO,5502,9472,271324,2011
12,18,IN,INDIANA,5178,9163,209090,2011
12,4,AZ,ARIZONA,4509,7209,207969,2011
12,9,CT,CONNECTICUT,4153,6877,250325,2011
12,22,LA,LOUISIANA,4069,7002,157489,2011
12,21,KY,KENTUCKY,3824,6874,142542,2011
12,29,MO,MISSOURI,3457,5995,151933,2011
12,55,WI,WISCONSIN,3053,5108,134722,2011
12,56,WY,WYOMING,2960,3289,105934,2011
12,28,MS,MISSISSIPPI,2783,4814,91982,2011
12,27,MN,MINNESOTA,2487,4144,130777,2011
12,33,NH,NEW HAMPSHIRE,2277,3410,93563,2011
