A,B,Frequency,A_name,B_name
87,48,3,Jake Sullivan,Daniel Schwerin
80,48,11,Hillary Clinton,Daniel Schwerin
87,213,3,Jake Sullivan,Wendy Sherman
80,213,9,Hillary Clinton,Wendy Sherman
80,194,413,Hillary Clinton,Sidney Blumenthal
80,185,55,Hillary Clinton,Robert Russo
116,185,5,Lauren Jiloty,Robert Russo
80,143,118,Hillary Clinton,Melanne Verveer
170,143,2,Philippe Reines,Melanne Verveer
80,112,40,Hillary Clinton,Kris Balderston
80,196,49,Hillary Clinton,Strobe Talbott
80,171,15,Hillary Clinton,Phillip Crowley
80,90,16,Hillary Clinton,James Steinberg
80,216,20,Hillary Clinton,William Burns
80,113,23,Hillary Clinton,Kurt Campbell
80,226,10,Hillary Clinton,rooneym@state.gov
80,30,34,Hillary Clinton,Cherie Blair
80,9,14,Hillary Clinton,Andrew Shapiro
80,156,12,Hillary Clinton,Nora Toiv
80,205,13,Hillary Clinton,Tomicah Tillemann
80,77,20,Hillary Clinton,Harold Hongju Koh
94,77,4,Jeffrey Feltman,Harold Hongju Koh
80,15,16,Hillary Clinton,Barbara Mikulski
80,135,13,Hillary Clinton,Maria Otero
80,144,19,Hillary Clinton,Michael Fuchs
80,169,8,Hillary Clinton,Philip Gordon
80,204,9,Hillary Clinton,Todd Stern
80,12,10,Hillary Clinton,Arturo Valenzuela
80,63,12,Hillary Clinton,Ellen Tauscher
80,174,4,Hillary Clinton,Rajiv Shah
80,191,12,Hillary Clinton,"Samuel (""Sandy"") Berger"
80,202,5,Hillary Clinton,Thomas Shannon
80,21,4,Hillary Clinton,Burns Strider
80,52,3,Hillary Clinton,David Garten
80,66,3,Hillary Clinton,Esther Brimmer
80,100,4,Hillary Clinton,John Podesta
80,153,9,Hillary Clinton,Neera Tanden
80,162,3,Hillary Clinton,PVervee
80,37,2,Hillary Clinton,Christopher Hill
80,50,3,Hillary Clinton,David Axelrod
80,56,2,Hillary Clinton,Derek Chollet
80,73,3,Hillary Clinton,Gina Glantz
80,93,7,Hillary Clinton,Jeffrey Farrow
80,101,2,Hillary Clinton,Johnnie Carson
80,145,2,Hillary Clinton,Michael Posner
80,184,2,Hillary Clinton,Robert Hormats
80,201,2,Hillary Clinton,Thomas Nides
105,168,2,Judith McHale,Philip Crowley
