name,pol
digbysblog.blogspot.com,-1
patriotsforbush.com,1
deadcantrant.com/blog,1
bidinotto.journalspace.com,1
grupo-utopia.com/blog/isou,-1
proponentofreason.blogspot.com,-1
flagrancy.net,-1
crooksandliars.com,-1
armchairgeneralist.typepad.com,1
awideawake.blogspot.com,1
robot-invasion.com,-1
respublica2004.blogspot.com,1
ihatepatrobertson.com,-1
interested-participant.blogspot.com,1
bernardmoon.blogspot.com,1
unfetteredmusings.blogspot.com,1
sgtstryker.com,1
radgeek.com,-1
demagogue.blogspot.com,-1
cybermenace.blogspot.com,1
ivotedforgeorge.com,-1
riteturnonly.blogspot.com,1
alphapredator.com/wdtgw.htm,-1
joepublicus.blogspot.com,1
mantic.squarespace.com,1
theangryliberal.blogspot.com,-1
thelucideye.blogspot.com,-1
disintegrator.blogspot.com,1
bluestates.blogspot.com,1
littlegreenfootballs.com/weblog,1
newleftblogs.blogspot.com,-1
talkingpointsmemo.com,-1
progressivesociety.com/blog,-1
radioequalizer.blogspot.com,1
diypolitics.blogdrive.com,-1
nearouterheaven.blogspot.com,-1
jacklewis.net,1
bigfatroid.blogspot.com,1
blindmindseye.com,1
quante.blogspot.com,1
truthlaidbear.com,1
donkey2004.blogspot.com,-1
evilpundit.com,1
limericksavant.blogspot.com,-1
thecore4.com,-1
motgs.com,1
drumwaster.com,1
tagorda.com,1
loud-liberal.blogspot.com,-1
home.midsouth.rr.com/joefish,1
qando.net,-1
alvintostig.typepad.com,-1
needlenose.com,-1
lefti.blogspot.com,-1
jrogg.blogspot.com,1
rightonred.net,1
crankybastard.blogspot.com,1
discerningtexan.blogspot.com,1
reachm.com/amstreet,-1
takebackthemedia.com,-1
polipundit.com,1
homespunbloggers.blogspot.com,1
therightcoast.blogspot.com,1
acepilots.com/mt,1
juliusblog.blogspot.com,-1
americanwarmonger.blogspot.com,1
writingcompany.blogs.com/this_isnt_writing_its_typ,1
jdeeth.blogspot.com,-1
truthliesandcommonsense.blogspot.com,1
scrutinyhooligans.blogspot.com,-1
myleftbrain.com,-1
tomburka.com,-1
indepundit.com,1
redstate.org,1
amigo13.blogspot.com,1
pardonmyenglish.com,1
vernsblog.thegillfamily.us:8180,-1
therostra.blogspot.com,1
deathpenaltyusa.blogspot.com,-1
aboutpolitics.blogspot.com,-1
homicidalmaniak.com,1
slublog.blogspot.com,1
viewfromaheight.blogspot.com,1
realitybasednation.com,-1
americanpolitics.com,-1
politicalmusings.net,1
oliverwillis.com,-1
elderbearden.blogspot.com,-1
calpoly.edu/~doleary/blog.htm,1
janegalt.net,1
livinginbabylon.blogspot.com,1
diggersrealm.com/mt,1
prosandcons.us,1
blog01.kintera.com/dnccblog,-1
dogfight04.typepad.com,-1
thecommonvirtue.com,1
manifestcontent.net,1
blogsofwar.com,1
dailyrecycler.com/blog,1
ghostofaflea.com,1
nielsenhayden.com/electrolite,-1
shakingspears.blogspot.com,1
rising-hegemon.blogspot.com,-1
hiddennook.blogspot.com,1
fraterslibertas.com,1
turnpikefeminist.com,-1
religiousleft.blogspot.com,-1
punditguy.com,1
ratherbiased.com/news,1
sadlyno.com,-1
retrogrouch.net,-1
blueoregon.com,-1
annika.mu.nu,1
iflipflop.com,-1
patriot-paradox.com,1
anonymoussources.blogspot.com,-1
rogerlsimon.com,1
dailykos.com,-1
arkansastonight.com,-1
kalblog.com,1
theurbangrind.blogspot.com,1
madkane.com/notable.html,-1
rathergate.com,1
keithy1028.bravejournal.com,1
jewssansfrontieres.blogspot.com,-1
blogs.salon.com/0002874,-1
gotdesign.blogspot.com,1
markarkleiman.com,-1
shakespearessister.blogspot.com,-1
danzfamily.com,1
amleft.blogspot.com,-1
kerryforpresident2008.blogspot.com,-1
blogfreeordie.blogspot.com,-1
interestingtimes.typepad.com,-1
theliberalslies.blogspot.com,1
rightvoices.com,1
stagefour.typepad.com/commonprejudice,-1
mstabile.blogspot.com,-1
simplyappalling.blogspot.com,-1
dizzy-girl.net/index.php,1
daisycutter.blogspot.com,1
laughatliberals.com,1
busybusybusy.com,-1
toteota.blogspot.com,-1
browncross.com/usualsuspects,-1
conservativeobserver.blogspot.com,1
peacegarden.blogspot.com,-1
goose3five.blogspot.com,-1
antijohnkerry.blogspot.com,1
thetarpit.blogspot.com,1
maxspeak.org/mt,-1
shadydowns.blogspot.com,1
atrios.blogspot.com,-1
drudgereport.com,1
swingstateproject.com,-1
livejournal.com/users/jmhm,-1
mediajunkie.com/edgewise,-1
economicswithaface.com/weblog,1
tom-hanna.org,1
gopbloggers.org,1
catscape.com,1
theglitteringeye.com,1
sixmeatbuffet.com,1
chrenkoff.blogspot.com,1
reggiescorner.blogspot.com,1
johnmccrory.com,-1
angrydesi.typepad.com,-1
beautifulatrocities.com,1
hellafaded.blogspot.com,-1
thisliberal.com,1
lefterer.com,-1
patriotboy.blogspot.com,-1
jimtreacher.com,-1
idiosyncratictendencies.com,-1
winceandnod.blogspot.com,1
mahablog.com,-1
txfx.net,1
boffo.typepad.com,-1
madtechspeaks.blogspot.com,1
cbaker.org/blog,-1
reckersau.blogspot.com,1
joshferguson.blogspot.com,1
scottcsmith.net,-1
thatgoodnight.com,-1
polizeros.com,-1
redmindbluestate.blogspot.com,1
baldilocks.typepad.com,1
southernwatch.blogspot.com,1
sharedthought.com/weblog,-1
blog.kenlan.net,-1
virginiaprogressive.blogspot.com,-1
wampum.wabanaki.net,-1
aceoftrumpblog.blogspot.com,1
farleft.blogspot.com,-1
conservativelife.com/blog,1
californiaconservatives4truth.blogspot.com,1
ikilledcheguevara.blogspot.com,1
dmobley.blogspot.com,1
leftcoastconservative.blogspot.com,1
portapulpit.com,-1
blue6golf.blogspot.com,1
ackackack.com,-1
ejectejecteject.com,1
tristero.blogspot.com,-1
sneakeasysjoint.com,1
donspoliticalblog.blogspot.com,-1
collegedems.com/blog,-1
ace.mu.nu,1
kensain.com,-1
xnerg.blogspot.com,-1
theunderscore.blogspot.com,1
civilcommotion.com,1
blackmanforbush.blogspot.com,1
theneo-progressive.blogspot.com,1
damntheman.net,-1
instapundit.com,1
thepaytons.org/essays/considerettes,1
newcounterculture.com/log,1
j-bradford-delong.net/movable_type,-1
clubforgrowth.org/blog,1
mathewgross.com/blog,-1
techtrend.com/blog/taranicole,1
anarchyxero.robfindlay.org,-1
billroggio.com/easongate,1
acertainslantoflight.blogspot.com,1
alamonation.blogspot.com,1
750volts.blogspot.com,-1
scha-den-freu-de.blogspot.com,1
fritzs-thoughts.blogspot.com,1
rockpaperscissor.blogspot.com,1
evangelicaloutpost.com,1
travalex.blogspot.com,-1
noseyonline.com,-1
claudialong.com/blog,-1
stevemacek.blogspot.com,-1
purplestates.blogspot.com,-1
stmonk.blogspot.com,1
healingiraq.blogspot.com,1
blogslut.com,-1
captainsquartersblog.com/mt,1
betsyspage.blogspot.com,1
democraticunderground.com,-1
commonsenserunswild.typepad.com,1
righthandthief.blogspot.com,-1
theblueview.blogspot.com,-1
thinkingrocks.blogspot.com,-1
windsofchange.net,1
jokerstotheright.blogspot.com,1
cynicalnation.com,1
angryhomo.blogspot.com,-1
100monkeystyping.com,-1
lt-smash.us,1
notgeniuses.com,-1
gcruse.typepad.com,1
made4theinternet.blogspot.com,1
rightwingnews.com,1
inthebullpen.com,1
conservativecat.com,1
poweragerambleson.blogspot.com,1
centinel.blogspot.com,1
bullmooseblog.com,-1
virginiapolitics.blogspot.com,1
deansjournal.blogspot.com,1
conservativedialysis.com,1
my2cent.blogspot.com,1
southknoxbubba.net/skblog,-1
papadoc.net/pinkflamingobar.html,1
blogspirator.blogspot.com,1
thevaticanofliberalism.com,1
claycalhoun.com,1
amptoons.com/blog,-1
prolifeblogs.com,1
politicalstrategy.org,-1
hereswhatsleft.typepad.com,-1
roxanne.typepad.com,-1
slantpoint.com,1
washingtonmonthly.com,-1
netpolitik.blogspot.com,-1
perryvsworld.blogspot.com,1
mariestwocents.blogspot.com,1
politicaltracker.com,1
roughstock.blogspot.com,1
one38.org,-1
dedspace.blogspot.com,-1
brilliantatbreakfast.blogspot.com,-1
billhobbs.com,1
slowplay.com,1
unconventionalwisdom.typepad.com,1
nationalreview.com/thecorner,1
bluegoldfish.blogs.com/surface,1
luxeword.com,1
stix1972.blogspot.com,1
pandagon.net,-1
apologiesdemanded.blogspot.com,1
profgoose.blogspot.com,-1
secureliberty.org/,1
red-harvest.blogspot.com,-1
conservativessuck.blogspot.com,-1
nielsenhayden.com/makinglight,-1
kiosan.blogharbor.com,-1
christian-patriot.blogspot.com,1
activistchat.com/blogiran,1
raedinthemiddle.blogspot.com,-1
patriotism101.blogspot.com,1
conservativepush.blogspot.com,1
resistoppression.blogspot.com,-1
billmon.org,-1
romeocat.typepad.com,1
toneofvoice.blogspot.com,1
bluestateredstate.blogspot.com,-1
denisdekat.com,-1
althippo.blogspot.com,-1
anncoulter.org,1
smithersmpls.com,-1
oddhours.blogspot.com,-1
all-encompassingly.com,1
phoblographer.com,-1
upper-left.blogspot.com,-1
liberaloasis.com,-1
itznewstome.blogspot.com,1
thepoorman.net,-1
contrapositive.blogspot.com,-1
gaypatriot.blogspot.com,1
the-goddess.org,-1
elemming2.blogspot.com,-1
techievampire.net/wppol,1
john.hoke.org,-1
wpblog.ohpinion.com,-1
horologium.net,1
stcfoundation.blogspot.com,-1
piano-tuning.net/blog,1
rowhouselogic.com,-1
atease.blogspot.com,-1
risinghegemon.blogspot.com,-1
talkleft.com,-1
americandigest.org,1
michaeltotten.com,1
littletinylies.com,1
roseoftheknights.com/yank/pride.html,1
downtownlad.blogspot.com,1
netweed.com/postmodernanarchist,-1
timblair.spleenville.com,1
rooksrant.com,-1
martinipundit.com,1
athena.blogs.com,1
thecrankfiles.blogspot.com,1
riverbendblog.blogspot.com,-1
timblair.net,1
grassrootsmom.blogspot.com,-1
buzzmachine.com,-1
midwestrightwingers.blogspot.com,1
qoae.net,1
metropol47.blogspot.com,-1
americanfuture.typepad.com,1
michaelberube.com,-1
talkshowamerica.blogspot.com,1
presidentreagan.info/discussion,1
conservativeblogger.com,1
juancole.com,-1
headland.blogspot.com,1
thewritewing.blogspot.com,-1
jquinton.com,1
lawdork.blogspot.com,-1
deanesmay.com,1
cemonitor.blogspot.com,-1
crookedtimber.org,-1
nashvilletruth.blogspot.com,1
kitchennetwork.blogspot.com,1
quibbles-n-bits.com,1
scoobiedavis.blogspot.com,-1
southernappeal.blogspot.com,1
ogresview.blogspot.com,1
libertarianjackass.blogspot.com,1
truebluegal.blogspot.com,1
bopnews.com,-1
borgardblog.blogspot.com,1
sweetgrrrl.blogspot.com,1
offthekuff.com/mt,-1
rogerailes.blogspot.com,-1
pennywit.com/drupal,-1
dolphinsdock.com/blog,-1
rightstate.blogspot.com,1
dailywarnews.blogspot.com,-1
wonkette.com,-1
emergingdemocraticmajority.com,-1
legendgames.net/myblog.asp,1
bodyandsoul.typepad.com,-1
adviceforlefty.blogspot.com,-1
jadbury.com,-1
obsidianwings.blogs.com,-1
ajbenjaminjr.blogspot.com,-1
blubberhollow.com/blog,1
blogodob.blogspot.com,1
hugozoom.blogspot.com,-1
tbogg.blogspot.com,-1
theamericanmind.com,1
townhall.com/clog,1
buckeyepundit.blogspot.com,1
nonboxthinking.blogspot.com,1
billsrants.blogspot.com,-1
kellipundit.blogspot.com,1
leftthought.blogspot.com,-1
drunkensamurai.blogspot.com,1
oipp.blogspot.com,-1
thecarpetbaggerreport.com,-1
thatcoloredfellasweblog.bloghorn.com,-1
pacificviews.org,-1
watdanook.blogspot.com,1
fafblog.blogspot.com,-1
theworldaroundyou.com,-1
conservativezone.blogspot.com,1
fromtheroots.org,-1
shotofpolitics.blogspot.com,-1
alexpelan.blogspot.com,1
cayankee.blogs.com,1
rhetoricrhythm.blogspot.com,-1
allspinzone.blogspot.com,-1
rightwingtroll.blogspot.com,1
the-hamster.com,-1
yglesias.typepad.com/matthew,-1
mycatharsis.com,1
sinfactor.blogspot.com,1
shamelessantagonist.blogspot.com,-1
wholewheatblogger.com,1
thetalentshow.org,-1
chepooka.com,-1
oldfashionedwhippersnapper.blogspot.com,1
demleft.blogspot.com,-1
diplomadic.blogspot.com,1
home.earthlink.net/~fsrhine,-1
btcnews.com/btcnews,-1
permanentred.com,-1
greatestjeneration.com,1
newsbloggers.blogspot.com,1
thinkingright.us,1
thomasgalvin.blogspot.com,1
stan-istan.blogspot.com,1
bitheads.blogspot.com,1
margaretcho.com/blog/blog.htm,-1
kimdutoit.com/dr/weblog.php,1
bobhayes.net,1
philosophers-stone.blogspot.com,-1
dewar.journalspace.com,-1
achicknamedmarzi.com,1
schadelmann.com,-1
archpundit.com,-1
redstatealliance.blogspot.com,1
dneiwert.blogspot.com,-1
mudandphud.blogspot.com,1
viewfromtonka.blogspot.com,1
beldar.blogs.com/beldarblog,1
ccs178.com,1
rightword.blogspot.com,1
markschmitt.typepad.com/decembrist,-1
americanthinker.com,1
fringeblog.com,1
jeffblanco.blogdrive.com,1
thefulcrum.blogspot.com,-1
alittlemoretotheright.com,1
realclearpolitics.com,1
ofthemind.blogspot.com,1
jadedreality.blogspot.com,-1
templeofjennifer.com/blog,1
justalkin.us,1
incite1.blogspot.com,1
volokh.com,1
dissectleft.blogspot.com,1
obamablog.com,-1
victorhanson.com,1
wizbangblog.com,1
zebrax.blogs.com,1
danieldrezner.com/blog,1
arancaytar.blogspot.com,-1
polstate.com,-1
deserttusk.blogspot.com,1
liquidlist.com,-1
markadams.blogdrive.com,-1
left2right.typepad.com,-1
nomoremister.blogspot.com,-1
jg-spot.blogspot.com,1
dohiyimir.typepad.com,-1
lowrentrat.blogdrive.com,-1
dynamist.com/weblog,1
officesmileman.com,1
marknicodemo.blogspot.com,1
interestingtimes.blogspot.com,-1
theconservativezone.com,1
lawguy.blogspot.com,1
beefalwayswins.blogspot.com,1
answerguy.blogspot.com,-1
newdonkey.com,-1
powerlineblog.com,1
uggabugga.blogspot.com,-1
leonards-digest.blogspot.com,-1
thebloghill.blogspot.com,1
patrickruffini.com,1
discourse.net,-1
bluegrassroots.blogspot.com,-1
thetalkingdog.com,-1
therightwingconspiracy.org,1
o4tom.blogspot.com,1
squiggler.braveblog.com,1
aintnobaddude.com,-1
section-31.blogspot.com,1
poeticvalues.blogspot.com,1
thatliberalmedia.com,1
zeke01.typepad.com,1
pinkofeministhellcat.typepad.com/pinko_feminist_hellcat,-1
crankyneocon.com/crankyneocon,1
newappeal.blogspot.com,-1
blithered.blogspot.com,1
montages.blogspot.com,-1
hughhewitt.com,1
nickiegoomba.blogspot.com,1
itscomedowntothis.blogspot.com,1
noguru.tblog.com,1
stalinism.com/shot-by-both-sides,-1
parabasis.typepad.com,-1
burntorangereport.com,-1
sebourn.com/weblog,1
conservativeresponse.com,1
thetemplarpundit.blogspot.com,1
barkingdingo.blogspot.com,-1
corrente.blogspot.com,-1
gindy.blogspot.com,1
balloon-juice.com,1
everythingiknowiswrong.com,1
meateatingleftist.com,-1
teenageenthusiast.blogspot.com,-1
democrats.org/blog,-1
nathannewman.org/log,-1
rosenblog.com,1
americansforbayh.blogspot.com,-1
therinsecycle.com,1
jlynnsmith30.blogspot.com,1
rfburnhertz.net/rf_blog,1
shininglight.us,-1
neverwrongnever.blogspot.com,1
coffee.ondragonswing.com,1
andymatic.com,-1
astrosoup.blogspot.com,1
thedonovan.com,1
viewpointjournal.com,1
s88172659.onlinehome.us/spockosbrain.html,-1
jihadwatch.org,1
dartblog.com,1
hotflashreport.com,-1
patriotblog.com,1
stillmanvalley.org/aoo,1
ospolitics.org,-1
antiprotester.blogspot.com,1
la4israel.org/wordpress,1
ignatz.blogspot.com,-1
home.houston.rr.com/skeptical,-1
suburbanguerrilla.blogspot.com,-1
mwilliams.info,1
whopundit.blogspot.com,-1
mayflowerhill.blogspot.com,-1
iraqthemodel.blogspot.com,1
thenudnikfile.blogspot.com,1
angrygwn.blogspot.com,1
jimgilliam.com,-1
leanleft.com,-1
pejmanesque.com,1
markheimonen.blogspot.com,1
twentyfirstcenturyrepublican.blogspot.com,1
tsrightdominion.blogspot.com,1
phillybri.blogspot.com,-1
dogwooddreams.com/serendipity,1
bensworld.patriotforum.org,1
rightrainbow.com,1
conservativerevolution.com,1
brainshavings.com,1
blogforamerica.com,-1
tomcoburnisabigfatjerk.blogspot.com,-1
sayanythingblog.com,1
americanchronicle.blogspot.com,1
vodkapundit.com,1
metallicity.com/mb.asp,1
nofearoffreedom.blogspot.com,-1
ruminatethis.com,-1
blogicus.com,1
imao.us,1
poorjustin.blogspot.com,1
dimmykarras.blogspot.com,-1
presidentboxer.blogspot.com,-1
swfwithattitude.blogspot.com,1
king-of-fools.com,1
dailypundit.com,1
freedomofthought.com,1
holecard.blogspot.com,1
stealthebandwagon.blogspot.com,1
folkbum.blogspot.com,-1
worldonfire.typepad.com/world_on_fire,-1
okieonthelam.com,1
shallows.blogspot.com,1
simbaud.blogspot.com,-1
