Starting_City,Ending_City,Average_Travel_Time
"Abilene, TX","Egg Harbor Township, NJ",33.01660674
"Abilene, TX","El Paso, TX",10.72315494
"Abilene, TX","Elko, NV",20.1745561
"Abilene, TX","Elmira / Corning, NY",27.78790177
"Abilene, TX","Erie, PA",27.77140305
"Abilene, TX","Eugene, OR",27.28973226
"Abilene, TX","Evansville, IN",14.39077212
"Abilene, TX","Fairbanks, AK",59.06040351
"Abilene, TX","Fargo, ND",17.7885803
"Abilene, TX","Fayetteville / Springdale, AR",13.62365079
"Abilene, TX","Fayetteville, NC",21.96130286
"Abilene, TX","Flagstaff, AZ",18.29556961
"Abilene, TX","Flint, MI",20.11608185
"Abilene, TX","Florence, SC",22.99903633
"Abilene, TX","Fort Hood / Killeen, TX",11.29027568
"Abilene, TX","Fort Lauderdale, FL",27.53210473
"Abilene, TX","Fort Myers, FL",28.86491548
"Abilene, TX","Fort Smith, AR",7.066357199
"Abilene, TX","Fort Wayne, IN",23.83038873
"Abilene, TX","Fresno, CA",28.50616989
"Abilene, TX","Gainesville, FL",25.62150772
"Abilene, TX","Gillette, WY",14.29720474
"Abilene, TX","Grand Forks, ND",19.73869636
"Abilene, TX","Grand Junction, CO",12.10269097
"Abilene, TX","Grand Rapids, MI",23.60941205
"Abilene, TX","Great Falls, MT",29.07231521
"Abilene, TX","Green Bay, WI",26.7102156
"Abilene, TX","Greensboro, NC",24.08579088
"Abilene, TX","Greenville, SC",26.45941965
"Abilene, TX","Gulfport, MS",13.79938368
"Abilene, TX","Gunnison, CO",11.49040474
"Abilene, TX","Gustavus, AK",49.43550945
"Abilene, TX","Hailey, ID",28.3481702
"Abilene, TX","Hancock, MI",24.52165402
"Abilene, TX","Harlingen, TX",8.506760814
"Abilene, TX","Harrisburg, PA",27.20371806
"Abilene, TX","Hayden, CO",20.04130061
"Abilene, TX","Helena, MT",23.78358674
"Abilene, TX","Hilo, HI",61.80246542
"Abilene, TX","Honolulu, HI",64.28746449
"Abilene, TX","Houston, TX",9.19968267
"Abilene, TX","Huntington, WV",25.25372425
"Abilene, TX","Huntsville, AL",20.09984274
"Abilene, TX","Idaho Falls, ID",19.63583999
"Abilene, TX","Imperial, CA",17.89348912
"Abilene, TX","Indianapolis, IN",16.25134335
"Abilene, TX","International Falls, MN",24.33215309
"Abilene, TX","Inyokern, CA",26.41714583
"Abilene, TX","Islip, NY",34.87250182
"Abilene, TX","Ithaca, NY",26.3165884
"Abilene, TX","Jackson, MS",24.73473909
"Abilene, TX","Jackson, WY",11.60653206
"Abilene, TX","Jacksonville, FL",27.0958935
"Abilene, TX","Jacksonville, NC",27.20180751
"Abilene, TX","Juneau, AK",47.48206771
"Abilene, TX","Kahului, HI",67.90458214
"Abilene, TX","Kalamazoo, MI",19.2091461
"Abilene, TX","Kansas City, MO",9.491284626
"Abilene, TX","Keahole, HI",65.7685316
"Abilene, TX","Ketchikan, AK",42.40148959
"Abilene, TX","Key West, FL",25.56820368
"Abilene, TX","King Salmon, AK",72.73078182
"Abilene, TX","Klamath Falls, OR",27.18072605
"Abilene, TX","Knoxville, TN",24.05347107
"Abilene, TX","Kodiak, AK",61.57602157
"Abilene, TX","Kotzebue, AK",72.74201974
"Abilene, TX","La Crosse, WI",17.23035809
"Abilene, TX","Lafayette, LA",13.00424523
"Abilene, TX","Lake Charles, LA",12.8508724
"Abilene, TX","Lansing, MI",24.31195527
"Abilene, TX","Laredo, TX",6.872565401
"Abilene, TX","Las Vegas, NV",21.89956159
"Abilene, TX","Lawton, OK",7.500180133
"Abilene, TX","Lewisburg, WV",29.97729993
"Abilene, TX","Lewiston, ID",31.25803835
"Abilene, TX","Lexington, KY",20.09189522
"Abilene, TX","Lihue, HI",65.56286922
"Abilene, TX","Lincoln, NE",16.93138148
"Abilene, TX","Little Rock, AR",10.80961192
"Abilene, TX","Long Beach, CA",22.52317868
"Abilene, TX","Longview, TX",7.970260433
"Abilene, TX","Los Angeles, CA",19.78866886
"Abilene, TX","Louisville, KY",17.08976814
"Abilene, TX","Lubbock, TX",9.480256551
"Abilene, TX","Lynchburg, VA",22.14010601
"Abilene, TX","Macon, GA",23.05524268
"Abilene, TX","Madison, WI",22.90328739
"Abilene, TX","Manchester, NH",38.14147848
"Abilene, TX","Mcallen, TX",10.40034543
"Abilene, TX","Medford, OR",33.24103576
"Abilene, TX","Melbourne, FL",20.51759457
"Abilene, TX","Memphis, TN",16.05555451
"Abilene, TX","Meridian, MS",20.93096965
"Abilene, TX","Miami, FL",28.48958071
"Abilene, TX","Midland, TX",12.56324296
"Abilene, TX","Milwaukee, WI",17.8081927
"Abilene, TX","Minneapolis, MN",20.04555671
"Abilene, TX","Minot, ND",18.92846459
"Abilene, TX","Missoula, MT",26.44515145
"Abilene, TX","Mobile, AL",16.5676436
"Abilene, TX","Modesto, CA",30.94672888
"Abilene, TX","Moline, IL",15.87788981
"Abilene, TX","Monroe, LA",8.644858189
"Abilene, TX","Monterey, CA",27.55101491
"Abilene, TX","Montgomery, AL",16.28838094
"Abilene, TX","Montrose, CO",13.22819194
"Abilene, TX","Mosinee, WI",20.91313936
"Abilene, TX","Muskegon, MI",22.2183261
"Abilene, TX","Myrtle Beach, SC",25.79229623
"Abilene, TX","Nantucket, MA",38.91314421
"Abilene, TX","Nashville, TN",18.52347186
"Abilene, TX","New Bern, NC",25.79488738
"Abilene, TX","New Orleans, LA",14.72911667
"Abilene, TX","New York, NY",35.17850097
"Abilene, TX","Newark, NJ",30.82355975
"Abilene, TX","Newburgh, NY",30.14524755
"Abilene, TX","Newport News, VA",27.66451822
"Abilene, TX","Nome, AK",82.17981074
"Abilene, TX","Norfolk, VA",28.90485772
"Abilene, TX","North Bend, OR",33.91699382
"Abilene, TX","North Canton, OH",29.14430169
"Abilene, TX","Oakland, CA",29.15586726
"Abilene, TX","Oklahoma City, OK",5.63623719
"Abilene, TX","Omaha, NE",16.66438493
"Abilene, TX","Ontario, CA",24.99460826
"Abilene, TX","Orange County, CA",23.19614154
"Abilene, TX","Orlando, FL",25.79268287
"Abilene, TX","Oxnard, CA",24.57685526
"Abilene, TX","Palm Springs, CA",18.88399222
"Abilene, TX","Palmdale, CA",28.56165532
"Abilene, TX","Panama City, FL",17.03909776
"Abilene, TX","Pasco, WA",30.86875795
"Abilene, TX","Pellston, MI",28.86816345
"Abilene, TX","Pensacola, FL",19.64386861
"Abilene, TX","Peoria, IL",16.95695252
"Abilene, TX","Petersburg, AK",48.24731078
"Abilene, TX","Philadelphia, PA",33.55409457
"Abilene, TX","Phoenix, AZ",14.36852629
"Abilene, TX","Pierre, SD",13.97568643
"Abilene, TX","Pittsburgh, PA",22.06071205
"Abilene, TX","Pocatello, ID",25.6439224
"Abilene, TX","Ponce, PR",41.11520262
"Abilene, TX","Portland, ME",39.44843073
"Abilene, TX","Portland, OR",30.43423148
"Abilene, TX","Providence, RI",38.74888977
"Abilene, TX","Pueblo, CO",17.59797522
"Abilene, TX","Rapid City, SD",20.11378363
"Abilene, TX","Rdu Airport, NC",26.17988413
"Abilene, TX","Redding, CA",31.01774406
"Abilene, TX","Redmond, OR",34.5179185
"Abilene, TX","Reno, NV",31.29983751
"Abilene, TX","Rhinelander, WI",24.70628479
"Abilene, TX","Richmond, VA",23.93505261
"Abilene, TX","Roanoke, VA",29.30994412
"Abilene, TX","Rochester, MN",17.55733378
"Abilene, TX","Rochester, NY",28.47591873
"Abilene, TX","Rock Springs, WY",20.12904352
"Abilene, TX","Rockford, IL",18.46785707
"Abilene, TX","Roswell, NM",14.92970902
"Abilene, TX","Sacramento, CA",28.79229031
"Abilene, TX","Saginaw, MI",22.16037498
"Abilene, TX","Saint Louis, MO",12.33809879
"Abilene, TX","Salem, OR",35.50306487
"Abilene, TX","Salt Lake City, UT",17.87829697
"Abilene, TX","San Angelo, TX",11.33164312
"Abilene, TX","San Antonio, TX",13.12249729
"Abilene, TX","San Diego, CA",19.61138703
"Abilene, TX","San Francisco, CA",32.28281462
"Abilene, TX","San Jose, CA",28.79126477
"Abilene, TX","San Juan, PR",46.46314721
"Abilene, TX","San Luis Obispo, CA",23.15010514
"Abilene, TX","Santa Barbara, CA",28.25891642
"Abilene, TX","Santa Maria, CA",22.92411707
"Abilene, TX","Sarasota, FL",22.84716633
"Abilene, TX","Savannah, GA",23.48193816
"Abilene, TX","Seattle, WA",33.16856458
"Abilene, TX","Shreveport, LA",10.85640645
"Abilene, TX","Sioux City, IA",16.52137729
"Abilene, TX","Sioux Falls, SD",14.55051281
"Abilene, TX","Sitka, AK",49.35855878
"Abilene, TX","South Bend, IN",20.27965555
"Abilene, TX","South Burlington, VT",36.12331092
"Abilene, TX","Spokane, WA",27.45189653
"Abilene, TX","Springfield, IL",22.46312991
"Abilene, TX","Springfield, MO",12.93634136
"Abilene, TX","St George, UT",23.6770517
"Abilene, TX","Syracuse, NY",28.8266099
"Abilene, TX","Tallahassee, FL",24.46338958
"Abilene, TX","Tampa, FL",24.7130732
"Abilene, TX","Telluride, CO",17.83066984
"Abilene, TX","Texarkana, AR",7.785558926
"Abilene, TX","Toledo, OH",24.33509518
"Abilene, TX","Traverse City, MI",25.73051711
"Abilene, TX","Tucson, AZ",15.26300027
"Abilene, TX","Tulsa, OK",8.360373485
"Abilene, TX","Tupelo, MS",13.1326642
"Abilene, TX","Twin Falls, ID",27.90607343
"Abilene, TX","Tyler, TX",10.27989198
"Abilene, TX","Valdosta, GA",24.48584197
"Abilene, TX","Valparaiso, FL",17.29702772
"Abilene, TX","Waco, TX",9.578625972
"Abilene, TX","Washington, DC",32.55827842
"Abilene, TX","Waterloo, IA",19.488297
"Abilene, TX","West Palm Beach, FL",22.40674782
"Abilene, TX","West Yellowstone, MT",26.77804645
"Abilene, TX","White Plains, NY",35.37856685
"Abilene, TX","Wichita Falls, TX",3.97599771
"Abilene, TX","Wichita, KS",12.70093636
"Abilene, TX","Wilmington, NC",26.8585592
"Abilene, TX","Windsor Locks, CT",31.63044517
"Abilene, TX","Wrangell, AK",48.5956885
"Abilene, TX","Yakima, WA",32.19954787
"Abilene, TX","Yakutat, AK",56.29332771
"Abilene, TX","Yuma, AZ",20.92608515
"Adak Island, AK","Abilene, TX",82.38782891
"Adak Island, AK","Aguadilla, PR",115.4915493
"Adak Island, AK","Albany, GA",98.66311748
"Adak Island, AK","Albany, NY",111.2475032
"Adak Island, AK","Albuquerque, NM",82.03241246
"Adak Island, AK","Alexandria, LA",87.57200015
"Adak Island, AK","Allentown, PA",102.8262915
"Adak Island, AK","Amarillo, TX",80.76931163
"Adak Island, AK","Anchorage, AK",32.2247459
"Adak Island, AK","Appleton, WI",91.45542153
"Adak Island, AK","Arcata/Eureka, CA",61.65618288
"Adak Island, AK","Asheville, NC",99.52976511
"Adak Island, AK","Aspen, CO",76.91543423
"Adak Island, AK","Atlanta, GA",102.0051472
"Adak Island, AK","Augusta, GA",102.4735103
"Adak Island, AK","Austin, TX",84.89874837
"Adak Island, AK","Avoca, PA",105.4584961
"Adak Island, AK","BWI Airport, MD",102.781103
"Adak Island, AK","Bakersfield, CA",64.89106647
"Adak Island, AK","Bangor, ME",118.0494778
"Adak Island, AK","Barrow, AK",36.78248119
"Adak Island, AK","Baton Rouge, LA",98.12057024
"Adak Island, AK","Beaumont / Port Arthur, TX",87.48535454
"Adak Island, AK","Bellingham, WA",61.19638635
"Adak Island, AK","Bemidji, MN",85.82900309
"Adak Island, AK","Bethel, AK",22.27773573
"Adak Island, AK","Billings, MT",74.37316949
"Adak Island, AK","Binghamton, NY",108.1297531
"Adak Island, AK","Birmingham, AL",95.73929321
"Adak Island, AK","Bismarck, ND",86.07072067
"Adak Island, AK","Bloomington, IL",94.46765654
"Adak Island, AK","Blountville, TN",99.55929472
"Adak Island, AK","Boise, ID",67.99248934
"Adak Island, AK","Boston, MA",115.0683646
"Adak Island, AK","Bozeman, MT",66.77658095
"Adak Island, AK","Brownsville, TX",86.36866874
"Adak Island, AK","Brunswick, GA",102.3874703
"Adak Island, AK","Buffalo, NY",108.3209124
"Adak Island, AK","Burbank, CA",70.90914958
"Adak Island, AK","Butte, MT",71.42144719
"Adak Island, AK","Casper, WY",78.75242108
"Adak Island, AK","Cedar City, UT",69.10964174
"Adak Island, AK","Cedar Rapids, IA",95.52104331
"Adak Island, AK","Champaign, IL",90.15746282
"Adak Island, AK","Charleston, SC",108.4522255
"Adak Island, AK","Charleston, WV",103.0074074
"Adak Island, AK","Charlotte Amalie, VI",122.6008595
"Adak Island, AK","Charlotte, NC",105.1428448
"Adak Island, AK","Charlottesville, VA",102.1497229
"Adak Island, AK","Chattanooga, TN",95.98042516
"Adak Island, AK","Chicago, IL",94.46464083
"Adak Island, AK","Chico, CA",63.13897344
"Adak Island, AK","Christiansted, VI",126.9523848
"Adak Island, AK","Cincinnati, OH",101.0154639
"Adak Island, AK","Cleveland, OH",105.3727457
"Adak Island, AK","Cody, WY",71.02134055
"Adak Island, AK","College Station, TX",86.05703172
"Adak Island, AK","Colorado Springs, CO",78.12370591
"Adak Island, AK","Columbia, SC",101.1963082
"Adak Island, AK","Columbus, GA",100.7287456
"Adak Island, AK","Columbus, MS",96.96221815
"Adak Island, AK","Columbus, OH",98.50383235
"Adak Island, AK","Cordova, AK",39.3367696
"Adak Island, AK","Corpus Christi, TX",92.73498249
"Adak Island, AK","Crescent City, CA",54.37341337
"Adak Island, AK","Dallas, TX",84.03229352
"Adak Island, AK","Dayton, OH",96.19924971
"Adak Island, AK","Daytona Beach, FL",99.24592118
"Adak Island, AK","Deadhorse, AK",42.61051318
"Adak Island, AK","Denver, CO",82.97568322
"Adak Island, AK","Des Moines, IA",89.62742722
"Adak Island, AK","Detroit, MI",101.7965633
"Adak Island, AK","Dillingham, AK",26.50716637
"Adak Island, AK","Dothan, AL",100.4845335
"Adak Island, AK","Dubuque, IA",93.45761697
"Adak Island, AK","Duluth, MN",86.60239048
"Adak Island, AK","Durango, CO",71.44864458
"Adak Island, AK","Eagle, CO",73.79367749
"Adak Island, AK","Egg Harbor Township, NJ",110.7917609
"Adak Island, AK","El Paso, TX",76.0785839
"Adak Island, AK","Elko, NV",67.84997132
"Adak Island, AK","Elmira / Corning, NY",106.2268363
"Adak Island, AK","Erie, PA",98.96589443
"Adak Island, AK","Eugene, OR",61.98718396
"Adak Island, AK","Evansville, IN",97.18369746
"Adak Island, AK","Fairbanks, AK",33.55926764
"Adak Island, AK","Fargo, ND",81.98489083
"Adak Island, AK","Fayetteville / Springdale, AR",88.80325276
"Adak Island, AK","Fayetteville, NC",109.2136592
"Adak Island, AK","Flagstaff, AZ",76.09647628
"Adak Island, AK","Flint, MI",103.3290922
"Adak Island, AK","Florence, SC",106.4838664
"Adak Island, AK","Fort Hood / Killeen, TX",87.57046801
"Adak Island, AK","Fort Lauderdale, FL",103.8842867
"Adak Island, AK","Fort Myers, FL",100.2165039
"Adak Island, AK","Fort Smith, AR",89.92486696
"Adak Island, AK","Fort Wayne, IN",99.09811255
"Adak Island, AK","Fresno, CA",65.89692791
"Adak Island, AK","Gainesville, FL",102.9474186
"Adak Island, AK","Gillette, WY",79.50416256
"Adak Island, AK","Grand Forks, ND",84.56697096
"Adak Island, AK","Grand Junction, CO",71.30326896
"Adak Island, AK","Grand Rapids, MI",100.5663532
"Adak Island, AK","Great Falls, MT",68.42319525
"Adak Island, AK","Green Bay, WI",91.82463044
"Adak Island, AK","Greensboro, NC",104.9877211
"Adak Island, AK","Greenville, SC",103.7773879
"Adak Island, AK","Gulfport, MS",91.16948135
"Adak Island, AK","Gunnison, CO",74.97847414
"Adak Island, AK","Gustavus, AK",42.45875877
"Adak Island, AK","Hailey, ID",67.90915519
"Adak Island, AK","Hancock, MI",96.28267739
"Adak Island, AK","Harlingen, TX",86.05163138
"Adak Island, AK","Harrisburg, PA",101.5637429
"Adak Island, AK","Hayden, CO",77.35755223
"Adak Island, AK","Helena, MT",66.87776736
"Adak Island, AK","Hilo, HI",45.7372207
"Adak Island, AK","Honolulu, HI",43.83912567
"Adak Island, AK","Houston, TX",86.34985066
"Adak Island, AK","Huntington, WV",102.1574201
"Adak Island, AK","Huntsville, AL",95.51105671
"Adak Island, AK","Idaho Falls, ID",70.11519142
"Adak Island, AK","Imperial, CA",67.97272336
"Adak Island, AK","Indianapolis, IN",92.16634017
"Adak Island, AK","International Falls, MN",85.30881232
"Adak Island, AK","Inyokern, CA",63.03130176
"Adak Island, AK","Islip, NY",110.1372341
"Adak Island, AK","Ithaca, NY",104.6263765
"Adak Island, AK","Jackson, MS",73.42519233
"Adak Island, AK","Jackson, WY",96.7538642
"Adak Island, AK","Jacksonville, FL",105.3361455
"Adak Island, AK","Jacksonville, NC",102.490661
"Adak Island, AK","Juneau, AK",48.56542487
"Adak Island, AK","Kahului, HI",44.99171419
"Adak Island, AK","Kalamazoo, MI",100.6029495
"Adak Island, AK","Kansas City, MO",92.8923247
"Adak Island, AK","Keahole, HI",45.17769904
"Adak Island, AK","Ketchikan, AK",52.06666679
"Adak Island, AK","Key West, FL",102.7417119
"Adak Island, AK","King Salmon, AK",25.12099987
"Adak Island, AK","Klamath Falls, OR",56.70705767
"Adak Island, AK","Knoxville, TN",99.03568066
"Adak Island, AK","Kodiak, AK",29.85574012
"Adak Island, AK","Kotzebue, AK",24.55561577
"Adak Island, AK","La Crosse, WI",89.76329217
"Adak Island, AK","Lafayette, LA",90.38846989
"Adak Island, AK","Lake Charles, LA",91.21182407
"Adak Island, AK","Lansing, MI",95.50727136
"Adak Island, AK","Laredo, TX",90.92959755
"Adak Island, AK","Las Vegas, NV",67.49046626
"Adak Island, AK","Lawton, OK",88.12167132
"Adak Island, AK","Lewisburg, WV",103.2247963
"Adak Island, AK","Lewiston, ID",63.88406548
"Adak Island, AK","Lexington, KY",102.07552
"Adak Island, AK","Lihue, HI",39.54942952
"Adak Island, AK","Lincoln, NE",89.64423183
"Adak Island, AK","Little Rock, AR",88.14586495
"Adak Island, AK","Long Beach, CA",65.21902841
"Adak Island, AK","Longview, TX",93.22121907
"Adak Island, AK","Los Angeles, CA",64.93717482
"Adak Island, AK","Louisville, KY",94.93705121
"Adak Island, AK","Lubbock, TX",79.0083125
"Adak Island, AK","Lynchburg, VA",106.5708313
"Adak Island, AK","Macon, GA",99.94183816
"Adak Island, AK","Madison, WI",91.74469817
"Adak Island, AK","Manchester, NH",106.5884108
"Adak Island, AK","Mcallen, TX",86.51256267
"Adak Island, AK","Medford, OR",63.60591421
"Adak Island, AK","Melbourne, FL",107.9004694
"Adak Island, AK","Memphis, TN",90.28937292
"Adak Island, AK","Meridian, MS",95.04165571
"Adak Island, AK","Miami, FL",103.8237882
"Adak Island, AK","Midland, TX",87.06716792
"Adak Island, AK","Milwaukee, WI",95.19766248
"Adak Island, AK","Minneapolis, MN",87.72204096
"Adak Island, AK","Minot, ND",77.45252055
"Adak Island, AK","Missoula, MT",69.75193063
"Adak Island, AK","Mobile, AL",96.90651928
"Adak Island, AK","Modesto, CA",67.44189067
"Adak Island, AK","Moline, IL",94.76757729
"Adak Island, AK","Monroe, LA",95.79663227
"Adak Island, AK","Monterey, CA",60.89632367
"Adak Island, AK","Montgomery, AL",100.3509826
"Adak Island, AK","Montrose, CO",78.03997125
"Adak Island, AK","Mosinee, WI",91.2685783
"Adak Island, AK","Muskegon, MI",100.8262603
"Adak Island, AK","Myrtle Beach, SC",108.3978055
"Adak Island, AK","Nantucket, MA",115.114108
"Adak Island, AK","Nashville, TN",101.3366639
"Adak Island, AK","New Bern, NC",102.0108075
"Adak Island, AK","New Orleans, LA",98.11689485
"Adak Island, AK","New York, NY",112.4791652
"Adak Island, AK","Newark, NJ",106.086012
"Adak Island, AK","Newburgh, NY",110.0646051
"Adak Island, AK","Newport News, VA",110.2327897
"Adak Island, AK","Nome, AK",23.88435646
"Adak Island, AK","Norfolk, VA",103.5561945
"Adak Island, AK","North Bend, OR",58.07867251
"Adak Island, AK","North Canton, OH",105.8770746
"Adak Island, AK","Oakland, CA",65.23633767
"Adak Island, AK","Oklahoma City, OK",88.74596207
"Adak Island, AK","Omaha, NE",82.44140731
"Adak Island, AK","Ontario, CA",63.67588985
"Adak Island, AK","Orange County, CA",70.55483976
"Adak Island, AK","Orlando, FL",106.1716241
"Adak Island, AK","Oxnard, CA",68.12717007
"Adak Island, AK","Palm Springs, CA",69.78972969
"Adak Island, AK","Palmdale, CA",71.03233618
"Adak Island, AK","Panama City, FL",99.36618758
"Adak Island, AK","Pasco, WA",65.80021316
"Adak Island, AK","Pellston, MI",100.0655982
"Adak Island, AK","Pensacola, FL",92.98368533
"Adak Island, AK","Peoria, IL",96.67281809
"Adak Island, AK","Petersburg, AK",44.97724723
"Adak Island, AK","Philadelphia, PA",108.1131529
"Adak Island, AK","Phoenix, AZ",75.2178589
"Adak Island, AK","Pierre, SD",84.66372412
"Adak Island, AK","Pittsburgh, PA",98.08320955
"Adak Island, AK","Pocatello, ID",74.67476393
"Adak Island, AK","Ponce, PR",118.1756275
"Adak Island, AK","Portland, ME",109.6554241
"Adak Island, AK","Portland, OR",61.41321655
"Adak Island, AK","Providence, RI",112.7066244
"Adak Island, AK","Pueblo, CO",82.41799484
"Adak Island, AK","Rapid City, SD",82.00433183
"Adak Island, AK","Rdu Airport, NC",106.1570752
"Adak Island, AK","Redding, CA",58.52893025
"Adak Island, AK","Redmond, OR",58.01729629
"Adak Island, AK","Reno, NV",65.20955695
"Adak Island, AK","Rhinelander, WI",88.40209921
"Adak Island, AK","Richmond, VA",110.3608633
"Adak Island, AK","Roanoke, VA",101.759807
"Adak Island, AK","Rochester, MN",88.52455069
"Adak Island, AK","Rochester, NY",109.3604803
"Adak Island, AK","Rock Springs, WY",74.35879785
"Adak Island, AK","Rockford, IL",90.07752106
"Adak Island, AK","Roswell, NM",76.46961562
"Adak Island, AK","Sacramento, CA",62.61149189
"Adak Island, AK","Saginaw, MI",94.94178052
"Adak Island, AK","Saint Louis, MO",91.45631926
"Adak Island, AK","Salem, OR",64.05762548
"Adak Island, AK","Salt Lake City, UT",69.61221239
"Adak Island, AK","San Angelo, TX",86.8660819
"Adak Island, AK","San Antonio, TX",85.30677995
"Adak Island, AK","San Diego, CA",72.2580612
"Adak Island, AK","San Francisco, CA",60.11310011
"Adak Island, AK","San Jose, CA",63.60979983
"Adak Island, AK","San Juan, PR",119.5866556
"Adak Island, AK","San Luis Obispo, CA",65.42368737
"Adak Island, AK","Santa Barbara, CA",65.42597568
"Adak Island, AK","Santa Maria, CA",62.6976874
"Adak Island, AK","Sarasota, FL",105.2249381
"Adak Island, AK","Savannah, GA",104.4659615
"Adak Island, AK","Seattle, WA",64.51692402
"Adak Island, AK","Shreveport, LA",95.06938469
"Adak Island, AK","Sioux City, IA",88.81903559
"Adak Island, AK","Sioux Falls, SD",88.33390125
"Adak Island, AK","Sitka, AK",42.60678529
"Adak Island, AK","South Bend, IN",100.8981675
"Adak Island, AK","South Burlington, VT",106.7400798
"Adak Island, AK","Spokane, WA",61.265356
"Adak Island, AK","Springfield, IL",95.79704855
"Adak Island, AK","Springfield, MO",85.53539209
"Adak Island, AK","St George, UT",70.76375246
"Adak Island, AK","Syracuse, NY",101.8857822
"Adak Island, AK","Tallahassee, FL",101.7625879
"Adak Island, AK","Tampa, FL",105.100692
"Adak Island, AK","Telluride, CO",77.23118119
"Adak Island, AK","Texarkana, AR",86.68355015
"Adak Island, AK","Toledo, OH",100.4068474
"Adak Island, AK","Traverse City, MI",96.34300065
"Adak Island, AK","Tucson, AZ",77.61252747
"Adak Island, AK","Tulsa, OK",88.26585068
"Adak Island, AK","Tupelo, MS",93.69048588
"Adak Island, AK","Twin Falls, ID",72.86446404
"Adak Island, AK","Tyler, TX",87.55661905
"Adak Island, AK","Valdosta, GA",96.72275844
"Adak Island, AK","Valparaiso, FL",97.62538296
"Adak Island, AK","Waco, TX",89.96072926
"Adak Island, AK","Washington, DC",107.4500841
"Adak Island, AK","Waterloo, IA",88.75974922
"Adak Island, AK","West Palm Beach, FL",108.7835929
